LOGINMANAGER, TRACE | 14:24:20, 3.84 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 14:24:20, 3.84 : False
DOWNLOADUTILITY, TRACE | 14:24:20, 3.84 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 14:24:20, 3.84 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:24:20, 3.84 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 14:24:20, 3.84 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 14:24:20, 3.84 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 14:24:20, 3.84 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 14:24:20, 0 : Connect called at 07/05/2022 14:24:20
LOGGER, TRACE | 14:24:20, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_14-24.txt
LOGGER, DEBUG | 14:24:20, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 14:24:21, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:24:21, 0 : Parsing labs
LOGINMANAGER, TRACE | 14:24:21, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 14:24:21, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 14:24:21, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 14:24:21, 0 : Csvs parsed
LOGINMANAGER, TRACE | 14:24:30, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 14:24:30, 8.68 : False
LOGINMANAGER, TRACE | 14:25:12, 50.4 : Lab has been placed
LOGINMANAGER, TRACE | 14:25:12, 50.4 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 14:25:12, 50.4 : True
LOGINMANAGER, TRACE | 14:25:32, 70.96 : Pin Entered
LOGINMANAGER, TRACE | 14:25:32, 70.96 : Started Authenticating pin
AUTHENTICATE, TRACE | 14:25:32, 70.96 : Attempting to authenticate pin: 000014
AUTHENTICATE, TRACE | 14:25:33, 70.96 : Attempting to authenticate pin: 000014
AUTHENTICATE, TRACE | 14:25:34, 70.96 : Attempting to authenticate pin: 000014


Log file for student: User_14,  M00000014.
Current Time: 07/05/2022 14:25:35
LOGINMANAGER, TRACE | 14:25:35, 70.96 : Student authenticated: User 14, M00000014
LOGINMANAGER, TRACE | 14:25:35, 70.96 : Started lab selection
LOGINMANAGER, TRACE | 14:25:35, 70.96 : Generating lab selection buttons
LOGINMANAGER, TRACE | 14:26:23, 119.51 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 14:26:23, 119.51 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 14:26:23, 119.51 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
