LOGINMANAGER, TRACE | 11:41:01, 3.83 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 11:41:01, 3.83 : False
DOWNLOADUTILITY, TRACE | 11:41:01, 3.83 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 11:41:01, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 11:41:01, 3.83 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 11:41:01, 3.83 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 11:41:01, 3.83 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 11:41:01, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 11:41:01, 0 : Connect called at 07/05/2022 11:41:01
LOGGER, TRACE | 11:41:01, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_11-41.txt
LOGGER, DEBUG | 11:41:01, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 11:41:01, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 11:41:01, 0 : Parsing labs
LOGINMANAGER, TRACE | 11:41:01, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 11:41:01, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 11:41:01, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 11:41:01, 0 : Csvs parsed
LOGINMANAGER, TRACE | 11:41:10, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 11:41:10, 8.68 : False
LOGINMANAGER, TRACE | 11:41:35, 33.36 : Lab has been placed
LOGINMANAGER, TRACE | 11:41:35, 33.36 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 11:41:35, 33.36 : True
LOGINMANAGER, TRACE | 11:42:05, 63.62 : Pin Entered
LOGINMANAGER, TRACE | 11:42:05, 63.62 : Started Authenticating pin
AUTHENTICATE, TRACE | 11:42:05, 63.62 : Attempting to authenticate pin: 000008
AUTHENTICATE, TRACE | 11:42:06, 63.62 : Attempting to authenticate pin: 000008
AUTHENTICATE, TRACE | 11:42:06, 63.62 : Attempting to authenticate pin: 000008


Log file for student: User_8,  M00000008.
Current Time: 07/05/2022 11:42:07
LOGINMANAGER, TRACE | 11:42:07, 63.62 : Student authenticated: User 8, M00000008
LOGINMANAGER, TRACE | 11:42:07, 63.62 : Started lab selection
LOGINMANAGER, TRACE | 11:42:07, 63.62 : Generating lab selection buttons
LOGINMANAGER, TRACE | 11:43:04, 120.94 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 11:43:04, 120.94 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 11:43:04, 120.94 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
