LOGINMANAGER, TRACE | 10:46:01, 3.84 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 10:46:01, 3.84 : False
DOWNLOADUTILITY, TRACE | 10:46:01, 3.84 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 10:46:01, 3.84 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 10:46:01, 3.84 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 10:46:01, 3.84 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 10:46:01, 3.84 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 10:46:01, 3.84 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 10:46:01, 0 : Connect called at 07/05/2022 10:46:01
LOGGER, TRACE | 10:46:02, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_10-46.txt
LOGGER, DEBUG | 10:46:02, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 10:46:02, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 10:46:02, 0 : Parsing labs
LOGINMANAGER, TRACE | 10:46:02, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 10:46:02, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 10:46:02, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 10:46:02, 0 : Csvs parsed
LOGINMANAGER, TRACE | 10:46:11, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 10:46:11, 8.68 : False
LOGINMANAGER, TRACE | 10:46:50, 47.35 : Lab has been placed
LOGINMANAGER, TRACE | 10:46:50, 47.35 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 10:46:50, 47.35 : True
LOGINMANAGER, TRACE | 10:48:26, 144 : Pin Entered
LOGINMANAGER, TRACE | 10:48:27, 144 : Started Authenticating pin
AUTHENTICATE, TRACE | 10:48:27, 144 : Attempting to authenticate pin: 000006
AUTHENTICATE, TRACE | 10:48:27, 144 : Attempting to authenticate pin: 000006
AUTHENTICATE, TRACE | 10:48:27, 144 : Attempting to authenticate pin: 000006


Log file for student: User_6,  M00000006.
Current Time: 07/05/2022 10:48:28
LOGINMANAGER, TRACE | 10:48:28, 144 : Student authenticated: User 6, M00000006
LOGINMANAGER, TRACE | 10:48:28, 144 : Started lab selection
LOGINMANAGER, TRACE | 10:48:28, 144 : Generating lab selection buttons
LOGINMANAGER, TRACE | 10:48:39, 155.8 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 10:48:39, 155.8 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 10:48:40, 155.8 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 10:48:40, 155.8 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 10:48:45, 160.91 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 10:48:45, 160.91 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: newfinalie.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: not_in_order1.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: not_in_order2.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: not_in_order3.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: Release.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: seeing the moon.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: sorting_instructions.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: sort-nicejob.wav
DOWNLOADUTILITY, DEBUG | 10:48:45, 160.91 : Extracting file: startbasketball.mp3
