LOGINMANAGER, TRACE | 10:46:10, 3.83 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 10:46:10, 3.83 : False
DOWNLOADUTILITY, TRACE | 10:46:10, 3.83 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 10:46:10, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 10:46:10, 3.83 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 10:46:10, 3.83 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 10:46:10, 3.83 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 10:46:10, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 10:46:10, 0 : Connect called at 07/05/2022 10:46:10
LOGGER, TRACE | 10:46:10, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_10-46.txt
LOGGER, DEBUG | 10:46:10, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 10:46:10, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 10:46:10, 0 : Parsing labs
LOGINMANAGER, TRACE | 10:46:10, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 10:46:10, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 10:46:10, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 10:46:11, 0 : Csvs parsed
LOGINMANAGER, TRACE | 10:46:19, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 10:46:19, 8.68 : False
LOGINMANAGER, TRACE | 10:46:50, 38.88 : Lab has been placed
LOGINMANAGER, TRACE | 10:46:50, 38.88 : Started Pin Entry
