LOGINMANAGER, TRACE | 11:41:07, 3.84 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 11:41:07, 3.84 : False
DOWNLOADUTILITY, TRACE | 11:41:07, 3.84 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 11:41:07, 3.84 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 11:41:07, 3.84 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 11:41:07, 3.84 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 11:41:07, 3.84 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 11:41:07, 3.84 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 11:41:07, 0 : Connect called at 07/05/2022 11:41:07
LOGGER, TRACE | 11:41:07, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_11-41.txt
LOGGER, DEBUG | 11:41:07, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 11:41:07, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 11:41:07, 0 : Parsing labs
LOGINMANAGER, TRACE | 11:41:07, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 11:41:07, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 11:41:07, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 11:41:07, 0 : Csvs parsed
LOGINMANAGER, TRACE | 11:41:16, 8.67 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 11:41:16, 8.67 : False
LOGINMANAGER, TRACE | 11:41:37, 29.44 : Lab has been placed
LOGINMANAGER, TRACE | 11:41:37, 29.44 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 11:41:37, 29.44 : True
LOGINMANAGER, TRACE | 11:42:07, 59.72 : Pin Entered
LOGINMANAGER, TRACE | 11:42:07, 59.72 : Started Authenticating pin
AUTHENTICATE, TRACE | 11:42:07, 59.72 : Attempting to authenticate pin: 000007
AUTHENTICATE, TRACE | 11:42:08, 59.72 : Attempting to authenticate pin: 000007
AUTHENTICATE, TRACE | 11:42:08, 59.72 : Attempting to authenticate pin: 000007


Log file for student: User_7,  M00000007.
Current Time: 07/05/2022 11:42:09
LOGINMANAGER, TRACE | 11:42:09, 59.72 : Student authenticated: User 7, M00000007
LOGINMANAGER, TRACE | 11:42:09, 59.72 : Started lab selection
LOGINMANAGER, TRACE | 11:42:09, 59.72 : Generating lab selection buttons
LOGINMANAGER, TRACE | 11:42:42, 92.95 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 11:42:42, 92.95 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 11:42:42, 92.95 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 11:42:42, 92.95 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 11:42:44, 95.02 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 11:42:44, 95.02 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: newfinalie.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: not_in_order1.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: not_in_order2.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: not_in_order3.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: Release.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: seeing the moon.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: sorting_instructions.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: sort-nicejob.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: startbasketball.mp3
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: startsim.wav
DOWNLOADUTILITY, DEBUG | 11:42:44, 95.02 : Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY, DEBUG | 11:42:45, 95.02 : Extracting file: Test55.mp3
DOWNLOADUTILITY, DEBUG | 11:42:45, 95.02 : Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY, DEBUG | 11:42:45, 95.02 : Extracting file: demo10.json
DOWNLOADUTILITY, DEBUG | 11:42:45, 95.02 : Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY, DEBUG | 11:42:45, 95.02 : Extracting file: 2k_moon.jpg
DOWNLOADUTILITY, DEBUG | 11:42:45, 95.02 : Extracting file: 2k_sun.jpg
DOWNLOADUTILITY, DEBUG | 11:42:45, 95.02 : Extracting file: balldimpled.png
MEDIACATALOGUE, TRACE | 11:42:45, 95.02 : Started Initializing Media Catlogue, 22 resources to load
MEDIACATALOGUE, TRACE | 11:42:45, 95.02 : Started loading file: basketball.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.37 : Started loading file: bigearthmoon.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.4 : Started loading file: Grab.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.42 : Started loading file: introduction.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.44 : Started loading file: labintro.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.45 : Started loading file: newfinalie.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.47 : Started loading file: not_in_order1.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.49 : Started loading file: not_in_order2.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.5 : Started loading file: not_in_order3.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.52 : Started loading file: Release.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.54 : Started loading file: seeing the moon.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.57 : Started loading file: sorting_instructions.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.61 : Started loading file: sort-nicejob.wav
MEDIACATALOGUE, TRACE | 11:42:45, 95.63 : Started loading file: startbasketball.mp3
MEDIACATALOGUE, TRACE | 11:42:46, 95.64 : Started loading file: startsim.wav
MEDIACATALOGUE, TRACE | 11:42:46, 95.73 : Started loading file: starttinyearthmoons.wav
MEDIACATALOGUE, TRACE | 11:42:46, 95.76 : Started loading file: Test55.mp3
MEDIACATALOGUE, TRACE | 11:42:51, 95.84 : Started loading file: tinyearthmoon.wav
MEDIACATALOGUE, TRACE | 11:42:52, 96.19 : Started loading file: 2k_earth_daymap.jpg
