LOGINMANAGER, TRACE | 11:41:04, 3.83 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 11:41:04, 3.83 : False
DOWNLOADUTILITY, TRACE | 11:41:04, 3.83 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 11:41:04, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 11:41:04, 3.83 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 11:41:04, 3.83 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 11:41:04, 3.83 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 11:41:04, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 11:41:04, 0 : Connect called at 07/05/2022 11:41:04
LOGGER, TRACE | 11:41:04, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_11-41.txt
LOGGER, DEBUG | 11:41:04, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 11:41:04, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 11:41:04, 0 : Parsing labs
LOGINMANAGER, TRACE | 11:41:05, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 11:41:05, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 11:41:05, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 11:41:05, 0 : Csvs parsed
LOGINMANAGER, TRACE | 11:41:14, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 11:41:14, 8.68 : False
