LOGINMANAGER, TRACE | 10:46:02, 3.82 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 10:46:02, 3.82 : False
DOWNLOADUTILITY, TRACE | 10:46:02, 3.82 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 10:46:02, 3.82 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 10:46:02, 3.82 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 10:46:02, 3.82 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 10:46:02, 3.82 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 10:46:02, 3.82 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 10:46:02, 0 : Connect called at 07/05/2022 10:46:02
LOGGER, TRACE | 10:46:02, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_10-46.txt
LOGGER, DEBUG | 10:46:02, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 10:46:02, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 10:46:02, 0 : Parsing labs
LOGINMANAGER, TRACE | 10:46:02, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 10:46:02, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 10:46:02, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 10:46:03, 0 : Csvs parsed
LOGINMANAGER, TRACE | 10:46:11, 8.67 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 10:46:11, 8.67 : False
LOGINMANAGER, TRACE | 10:46:38, 35.09 : Lab has been placed
LOGINMANAGER, TRACE | 10:46:38, 35.09 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 10:46:38, 35.09 : True
LOGINMANAGER, TRACE | 10:47:35, 92.31 : Pin Entered
LOGINMANAGER, TRACE | 10:47:35, 92.31 : Started Authenticating pin
AUTHENTICATE, TRACE | 10:47:35, 92.31 : Attempting to authenticate pin: 000005
AUTHENTICATE, TRACE | 10:47:36, 92.31 : Attempting to authenticate pin: 000005
AUTHENTICATE, TRACE | 10:47:36, 92.31 : Attempting to authenticate pin: 000005


Log file for student: User_5,  M00000005.
Current Time: 07/05/2022 10:47:36
LOGINMANAGER, TRACE | 10:47:36, 92.31 : Student authenticated: User 5, M00000005
LOGINMANAGER, TRACE | 10:47:36, 92.31 : Started lab selection
LOGINMANAGER, TRACE | 10:47:36, 92.31 : Generating lab selection buttons
LOGINMANAGER, TRACE | 10:48:38, 154.59 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 10:48:38, 154.59 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 10:48:38, 154.59 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
