LOGINMANAGER, TRACE | 14:24:18, 3.82 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 14:24:18, 3.82 : False
DOWNLOADUTILITY, TRACE | 14:24:18, 3.82 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 14:24:18, 3.82 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:24:18, 3.82 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 14:24:18, 3.82 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 14:24:18, 3.82 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 14:24:18, 3.82 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 14:24:18, 0 : Connect called at 07/05/2022 14:24:18
LOGGER, TRACE | 14:24:18, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_14-24.txt
LOGGER, DEBUG | 14:24:18, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 14:24:19, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:24:19, 0 : Parsing labs
LOGINMANAGER, TRACE | 14:24:19, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 14:24:19, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 14:24:19, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 14:24:19, 0 : Csvs parsed
LOGINMANAGER, TRACE | 14:24:28, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 14:24:28, 8.68 : False
LOGINMANAGER, TRACE | 14:25:09, 49.63 : Lab has been placed
LOGINMANAGER, TRACE | 14:25:09, 49.63 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 14:25:09, 49.63 : True
LOGINMANAGER, TRACE | 14:25:40, 80.28 : Pin Entered
LOGINMANAGER, TRACE | 14:25:40, 80.28 : Started Authenticating pin
AUTHENTICATE, TRACE | 14:25:40, 80.28 : Attempting to authenticate pin: 000017
AUTHENTICATE, TRACE | 14:25:41, 80.28 : Attempting to authenticate pin: 000017
AUTHENTICATE, TRACE | 14:25:42, 80.28 : Attempting to authenticate pin: 000017


Log file for student: User_17,  M00000017.
Current Time: 07/05/2022 14:25:43
LOGINMANAGER, TRACE | 14:25:43, 80.28 : Student authenticated: User 17, M00000017
LOGINMANAGER, TRACE | 14:25:43, 80.28 : Started lab selection
LOGINMANAGER, TRACE | 14:25:43, 80.28 : Generating lab selection buttons
LOGINMANAGER, TRACE | 14:26:19, 116.68 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 14:26:19, 116.68 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 14:26:19, 116.68 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 14:26:19, 116.68 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 14:26:23, 121.13 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 14:26:23, 121.13 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 14:26:23, 121.13 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 14:26:23, 121.13 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 14:26:23, 121.13 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: newfinalie.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: not_in_order1.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: not_in_order2.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: not_in_order3.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: Release.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: seeing the moon.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: sorting_instructions.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: sort-nicejob.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: startbasketball.mp3
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: startsim.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY, DEBUG | 14:26:24, 121.13 : Extracting file: Test55.mp3
DOWNLOADUTILITY, DEBUG | 14:26:25, 121.13 : Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY, DEBUG | 14:26:25, 121.13 : Extracting file: demo10.json
DOWNLOADUTILITY, DEBUG | 14:26:25, 121.13 : Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY, DEBUG | 14:26:25, 121.13 : Extracting file: 2k_moon.jpg
DOWNLOADUTILITY, DEBUG | 14:26:25, 121.13 : Extracting file: 2k_sun.jpg
DOWNLOADUTILITY, DEBUG | 14:26:25, 121.13 : Extracting file: balldimpled.png
MEDIACATALOGUE, TRACE | 14:26:25, 121.13 : Started Initializing Media Catlogue, 22 resources to load
MEDIACATALOGUE, TRACE | 14:26:25, 121.13 : Started loading file: basketball.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.48 : Started loading file: bigearthmoon.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.51 : Started loading file: Grab.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.53 : Started loading file: introduction.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.54 : Started loading file: labintro.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.56 : Started loading file: newfinalie.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.58 : Started loading file: not_in_order1.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.59 : Started loading file: not_in_order2.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.61 : Started loading file: not_in_order3.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.63 : Started loading file: Release.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.64 : Started loading file: seeing the moon.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.68 : Started loading file: sorting_instructions.wav
MEDIACATALOGUE, TRACE | 14:26:25, 121.72 : Started loading file: sort-nicejob.wav
