LOGINMANAGER, TRACE | 14:24:17, 3.83 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 14:24:17, 3.83 : False
DOWNLOADUTILITY, TRACE | 14:24:17, 3.83 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 14:24:17, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:24:18, 3.83 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 14:24:18, 3.83 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 14:24:18, 3.83 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 14:24:18, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 14:24:18, 0 : Connect called at 07/05/2022 14:24:18
LOGGER, TRACE | 14:24:18, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_14-24.txt
LOGGER, DEBUG | 14:24:18, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 14:24:18, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:24:18, 0 : Parsing labs
LOGINMANAGER, TRACE | 14:24:18, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 14:24:18, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 14:24:18, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 14:24:18, 0 : Csvs parsed
LOGINMANAGER, TRACE | 14:24:27, 8.67 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 14:24:27, 8.67 : False
LOGINMANAGER, TRACE | 14:25:09, 50.67 : Lab has been placed
LOGINMANAGER, TRACE | 14:25:09, 50.67 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 14:25:09, 50.67 : True
LOGINMANAGER, TRACE | 14:25:41, 82.35 : Pin Entered
LOGINMANAGER, TRACE | 14:25:41, 82.35 : Started Authenticating pin
AUTHENTICATE, TRACE | 14:25:41, 82.35 : Attempting to authenticate pin: 000015
AUTHENTICATE, TRACE | 14:25:42, 82.35 : Attempting to authenticate pin: 000015
AUTHENTICATE, TRACE | 14:25:43, 82.35 : Attempting to authenticate pin: 000015


Log file for student: User_15,  M00000015.
Current Time: 07/05/2022 14:25:44
LOGINMANAGER, TRACE | 14:25:44, 82.35 : Student authenticated: User 15, M00000015
LOGINMANAGER, TRACE | 14:25:44, 82.35 : Started lab selection
LOGINMANAGER, TRACE | 14:25:44, 82.35 : Generating lab selection buttons
LOGINMANAGER, TRACE | 14:26:15, 113.95 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 14:26:15, 113.95 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 14:26:15, 113.95 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 14:26:15, 113.95 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 14:26:20, 118.86 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 14:26:20, 118.86 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: newfinalie.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: not_in_order1.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: not_in_order2.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: not_in_order3.wav
DOWNLOADUTILITY, DEBUG | 14:26:20, 118.86 : Extracting file: Release.wav
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: seeing the moon.wav
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: sorting_instructions.wav
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: sort-nicejob.wav
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: startbasketball.mp3
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: startsim.wav
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: Test55.mp3
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: demo10.json
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: 2k_moon.jpg
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: 2k_sun.jpg
DOWNLOADUTILITY, DEBUG | 14:26:21, 118.86 : Extracting file: balldimpled.png
MEDIACATALOGUE, TRACE | 14:26:21, 118.86 : Started Initializing Media Catlogue, 22 resources to load
MEDIACATALOGUE, TRACE | 14:26:21, 118.86 : Started loading file: basketball.wav
MEDIACATALOGUE, TRACE | 14:26:22, 119.21 : Started loading file: bigearthmoon.wav
