LOGINMANAGER, TRACE | 13:14:18, 3.81 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 13:14:18, 3.81 : False
DOWNLOADUTILITY, TRACE | 13:14:18, 3.81 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 13:14:18, 3.81 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 13:14:18, 3.81 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 13:14:18, 3.81 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 13:14:18, 3.81 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 13:14:18, 3.81 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 13:14:18, 0 : Connect called at 07/05/2022 13:14:18
LOGGER, TRACE | 13:14:18, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_13-14.txt
LOGGER, DEBUG | 13:14:18, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 13:14:18, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 13:14:18, 0 : Parsing labs
LOGINMANAGER, TRACE | 13:14:18, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 13:14:18, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 13:14:18, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 13:14:19, 0 : Csvs parsed
LOGINMANAGER, TRACE | 13:14:27, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 13:14:27, 8.68 : False
LOGINMANAGER, TRACE | 13:14:52, 33.25 : Lab has been placed
LOGINMANAGER, TRACE | 13:14:52, 33.25 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 13:14:52, 33.25 : True
LOGINMANAGER, TRACE | 13:15:25, 66.02 : Pin Entered
LOGINMANAGER, TRACE | 13:15:25, 66.02 : Started Authenticating pin
AUTHENTICATE, TRACE | 13:15:25, 66.02 : Attempting to authenticate pin: 000010
AUTHENTICATE, TRACE | 13:15:25, 66.02 : Attempting to authenticate pin: 000010
AUTHENTICATE, TRACE | 13:15:26, 66.02 : Attempting to authenticate pin: 000010


Log file for student: User_10,  M00000010.
Current Time: 07/05/2022 13:15:27
LOGINMANAGER, TRACE | 13:15:27, 66.02 : Student authenticated: User 10, M00000010
LOGINMANAGER, TRACE | 13:15:27, 66.02 : Started lab selection
LOGINMANAGER, TRACE | 13:15:27, 66.02 : Generating lab selection buttons
LOGINMANAGER, TRACE | 13:16:19, 118.54 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 13:16:19, 118.54 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 13:16:19, 118.54 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 13:16:19, 118.54 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 13:16:28, 126.98 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 13:16:28, 126.98 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: newfinalie.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: not_in_order1.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: not_in_order2.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: not_in_order3.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: Release.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: seeing the moon.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: sorting_instructions.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: sort-nicejob.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: startbasketball.mp3
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: startsim.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY, DEBUG | 13:16:28, 126.98 : Extracting file: Test55.mp3
DOWNLOADUTILITY, DEBUG | 13:16:29, 126.98 : Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 126.98 : Extracting file: demo10.json
DOWNLOADUTILITY, DEBUG | 13:16:29, 126.98 : Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY, DEBUG | 13:16:29, 126.98 : Extracting file: 2k_moon.jpg
DOWNLOADUTILITY, DEBUG | 13:16:29, 126.98 : Extracting file: 2k_sun.jpg
DOWNLOADUTILITY, DEBUG | 13:16:29, 126.98 : Extracting file: balldimpled.png
MEDIACATALOGUE, TRACE | 13:16:29, 126.98 : Started Initializing Media Catlogue, 22 resources to load
MEDIACATALOGUE, TRACE | 13:16:29, 126.98 : Started loading file: basketball.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.33 : Started loading file: bigearthmoon.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.36 : Started loading file: Grab.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.38 : Started loading file: introduction.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.4 : Started loading file: labintro.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.41 : Started loading file: newfinalie.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.45 : Started loading file: not_in_order1.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.46 : Started loading file: not_in_order2.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.48 : Started loading file: not_in_order3.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.5 : Started loading file: Release.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.51 : Started loading file: seeing the moon.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.55 : Started loading file: sorting_instructions.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.58 : Started loading file: sort-nicejob.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.6 : Started loading file: startbasketball.mp3
MEDIACATALOGUE, TRACE | 13:16:29, 127.62 : Started loading file: startsim.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.7 : Started loading file: starttinyearthmoons.wav
MEDIACATALOGUE, TRACE | 13:16:29, 127.72 : Started loading file: Test55.mp3
MEDIACATALOGUE, TRACE | 13:16:35, 127.8 : Started loading file: tinyearthmoon.wav
MEDIACATALOGUE, TRACE | 13:16:35, 128.15 : Started loading file: 2k_earth_daymap.jpg
MEDIACATALOGUE, TRACE | 13:16:35, 128.4 : Started loading file: 2k_moon.jpg
MEDIACATALOGUE, TRACE | 13:16:35, 128.67 : Started loading file: 2k_sun.jpg
MEDIACATALOGUE, TRACE | 13:16:36, 128.92 : Started loading file: balldimpled.png
LOGINMANAGER, TRACE | 13:16:36, 128.97 : Initializing Lab Manager
LABMANAGER, TRACE | 13:16:36, 128.97 : Initializing lab
LIGHTINGCONTROL, TRACE | 13:16:36, 128.97 : Save lights called
LIGHTINGCONTROL, TRACE | 13:16:36, 128.97 : Setting lights to be sunlight
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: Sun, type: Prefabs/SunPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (-39.0, 0.0, 0.0), Scale: (5.0, 5.0, 5.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Adding components: 
BRIDGE, TRACE | 13:16:36, 128.97 : Mesh bounding box: Center: (-35.1, -0.2, -17.0), Extents: (3.3, 2.5, 3.3)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: Earth, type: Prefabs/moveableSphere
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, 0.0, 1.5), Scale: (0.1, 0.1, 0.1), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Adding components: {"name": "simpleRotation", "timeRate": 1.0, "rotationTime": 2.0} 
BRIDGE, TRACE | 13:16:36, 128.97 : Mesh bounding box: Center: (-0.7, -0.2, 1.5), Extents: (0.1, 0.0, 0.1)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: Moon, type: Prefabs/moveableSphere
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (2.4, 0.0, 1.5), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Adding components: {"name": "simpleOrbit", "moonPosition": {"x": 2.4, "y": 0.0, "z": 1.5}, "orbitalPeriod": 56.0, "timeRate": 1.0, "orbitalScale": 1.0, "synchronousRotation": true} 
BRIDGE, TRACE | 13:16:36, 128.97 : Mesh bounding box: Center: (1.4, -0.2, 2.5), Extents: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: earthLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, 2.0, 0.0), Scale: (10.0, 10.0, 10.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: earthSizeLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, -2.0, 0.0), Scale: (0.1, 0.1, 0.1), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: moonLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, 4.0, 0.0), Scale: (20.0, 20.0, 20.0), EulerAngles: (0.0, -90.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: moonSizeLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, -4.0, 0.0), Scale: (0.1, 0.1, 0.1), EulerAngles: (0.0, -90.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: moonDistanceLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (45.0, 0.0, 0.0), Scale: (0.1, 0.1, 0.1), EulerAngles: (0.0, 180.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: taskLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, 0.6, 2.5), Scale: (0.6, 0.6, 0.6), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: sectionLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, 0.8, 2.5), Scale: (0.6, 0.6, 0.6), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: brbNextModule, type: Prefabs/demoButtonPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (1.2, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Adding components: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]} 
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: brbNextModuleLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, 0.0, 0.1), Scale: (0.6, 0.6, 0.6), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: brbPreviousModule, type: Prefabs/demoButtonPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (-1.2, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Adding components: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]} 
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: brbPreviousModuleLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, 0.0, 0.1), Scale: (0.6, 0.6, 0.6), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: brbNextClip, type: Prefabs/demoButtonPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (1.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Adding components: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]} 
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: brbNextClipLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:36, 128.97 : Position: (0.0, 0.0, 0.1), Scale: (0.6, 0.6, 0.6), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 13:16:36, 128.97 : Creating object: brbPreviousClip, type: Prefabs/demoButtonPrefab
BRIDGE, TRACE | 13:16:37, 128.97 : Position: (-1.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 13:16:37, 128.97 : Adding components: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]} 
BRIDGE, TRACE | 13:16:37, 128.97 : Creating object: brbPreviousClipLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 13:16:37, 128.97 : Position: (0.0, 0.0, 0.1), Scale: (0.6, 0.6, 0.6), EulerAngles: (90.0, 180.0, 0.0)
DEMOSEQUENCE, TRACE | 13:16:37, 128.97 : Moving to clip clip1
BRIDGE, TRACE | 13:16:37, 128.97 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 13:16:37, 128.97 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:37, 128.97 : Creating object: MainInstructions, type: 
BRIDGE, TRACE | 13:16:37, 128.97 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:37, 128.97 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 13:16:37, 128.97 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 13:16:37, 128.97 : Creating object: brbNextClip, type: 
