LOGINMANAGER, TRACE | 10:46:02, 3.83 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 10:46:02, 3.83 : False
DOWNLOADUTILITY, TRACE | 10:46:02, 3.83 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 10:46:02, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 10:46:02, 3.83 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 10:46:02, 3.83 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 10:46:02, 3.83 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 10:46:02, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 10:46:02, 0 : Connect called at 07/05/2022 10:46:02
LOGGER, TRACE | 10:46:02, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_10-46.txt
LOGGER, DEBUG | 10:46:02, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 10:46:02, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 10:46:02, 0 : Parsing labs
LOGINMANAGER, TRACE | 10:46:02, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 10:46:02, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 10:46:02, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 10:46:03, 0 : Csvs parsed
LOGINMANAGER, TRACE | 10:46:11, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 10:46:11, 8.68 : False
LOGINMANAGER, TRACE | 10:46:39, 35.81 : Lab has been placed
LOGINMANAGER, TRACE | 10:46:39, 35.81 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 10:46:39, 35.81 : True
LOGINMANAGER, TRACE | 10:47:40, 97.52 : Pin Entered
LOGINMANAGER, TRACE | 10:47:40, 97.52 : Started Authenticating pin
AUTHENTICATE, TRACE | 10:47:40, 97.52 : Attempting to authenticate pin: 000004
AUTHENTICATE, TRACE | 10:47:41, 97.52 : Attempting to authenticate pin: 000004
AUTHENTICATE, TRACE | 10:47:41, 97.52 : Attempting to authenticate pin: 000004


Log file for student: User_4,  M00000004.
Current Time: 07/05/2022 10:47:41
LOGINMANAGER, TRACE | 10:47:41, 97.52 : Student authenticated: User 4, M00000004
LOGINMANAGER, TRACE | 10:47:41, 97.52 : Started lab selection
LOGINMANAGER, TRACE | 10:47:42, 97.52 : Generating lab selection buttons
LOGINMANAGER, TRACE | 10:48:43, 159.3 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 10:48:43, 159.3 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 10:48:43, 159.3 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 10:48:43, 159.3 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 10:48:49, 165.35 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 10:48:49, 165.35 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 10:48:49, 165.35 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 10:48:49, 165.35 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 10:48:49, 165.35 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 10:48:49, 165.35 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 10:48:49, 165.35 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 10:48:49, 165.35 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 10:48:49, 165.35 : Extracting file: newfinalie.wav
