LOGINMANAGER, TRACE | 13:14:15, 3.83 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 13:14:15, 3.83 : False
DOWNLOADUTILITY, TRACE | 13:14:15, 3.83 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 13:14:15, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 13:14:15, 3.83 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 13:14:15, 3.83 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 13:14:15, 3.83 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 13:14:15, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 13:14:15, 0 : Connect called at 07/05/2022 13:14:15
LOGGER, TRACE | 13:14:15, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_13-14.txt
LOGGER, DEBUG | 13:14:15, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 13:14:16, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 13:14:16, 0 : Parsing labs
LOGINMANAGER, TRACE | 13:14:16, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 13:14:16, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 13:14:16, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 13:14:16, 0 : Csvs parsed
LOGINMANAGER, TRACE | 13:14:25, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 13:14:25, 8.68 : False
LOGINMANAGER, TRACE | 13:14:54, 37.8 : Lab has been placed
LOGINMANAGER, TRACE | 13:14:54, 37.8 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 13:14:54, 37.8 : True
LOGINMANAGER, TRACE | 13:15:34, 78.37 : Pin Entered
LOGINMANAGER, TRACE | 13:15:34, 78.37 : Started Authenticating pin
AUTHENTICATE, TRACE | 13:15:34, 78.37 : Attempting to authenticate pin: 000009
AUTHENTICATE, TRACE | 13:15:35, 78.37 : Attempting to authenticate pin: 000009
AUTHENTICATE, TRACE | 13:15:36, 78.37 : Attempting to authenticate pin: 000009


Log file for student: User_9,  M00000009.
Current Time: 07/05/2022 13:15:36
LOGINMANAGER, TRACE | 13:15:36, 78.37 : Student authenticated: User 9, M00000009
LOGINMANAGER, TRACE | 13:15:36, 78.37 : Started lab selection
LOGINMANAGER, TRACE | 13:15:36, 78.37 : Generating lab selection buttons
LOGINMANAGER, TRACE | 13:16:20, 122.02 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 13:16:20, 122.02 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 13:16:20, 122.02 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 13:16:20, 122.02 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 13:16:27, 129.08 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 13:16:27, 129.08 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 13:16:27, 129.08 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 13:16:27, 129.08 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 13:16:27, 129.08 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 13:16:27, 129.08 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 13:16:27, 129.08 : Extracting file: introduction.wav
