LOGINMANAGER | STATE START | 08:44:23 | 3.82 | Introduction
LOGINMANAGER | TRACE | 08:44:23 | 3.82 | ToggleControllerRendering()
DOWNLOADUTILITY | DEBUG | 08:44:23 | 3.82 | Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY | DEBUG | 08:44:23 | 3.82 | Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 08:44:23 | 3.82 | SetupIntroAnimation()
DOWNLOADUTILITY | DEBUG | 08:44:23 | 3.82 | Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY | DEBUG | 08:44:23 | 3.82 | Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER | CONNECT | 08:44:23 | 0 | Connect called at 09/08/2022 08:44:23
LOGGER | TRACE | 08:44:23 | 0 | Saving files to persistent data path: /documents/C2/Logs/09-08-2022_08-44.txt
LOGGER | TRACE | 08:44:23 | 0 | Sync with transform log 3.824516
DOWNLOADUTILITY | DEBUG | 08:44:23 | 0 | Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 08:44:23 | 0 | ParseLabs()
LOGINMANAGER | DEBUG | 08:44:23 | 0 | Finished parsing labs:Moon Lab, 
DOWNLOADUTILITY | DEBUG | 08:44:23 | 0 | Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE | TRACE | 08:44:23 | 0 | ParseCSV()
AUTHENTICATE | DEBUG | 08:44:32 | 0 | CSVs Parsed
LOGINMANAGER | STATE START | 08:44:41 | 8.68 | Placement
LOGINMANAGER | TRACE | 08:44:41 | 8.68 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 08:45:09 | 37.17 | Place()
LOGINMANAGER | STATE START | 08:45:09 | 37.17 | Pin Entry
LOGINMANAGER | TRACE | 08:45:09 | 37.17 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 08:46:05 | 92.76 | PinEntered()
LOGINMANAGER | STATE START | 08:46:05 | 92.76 | Authentication
AUTHENTICATE | DEBUG | 08:46:05 | 92.76 | Attempting to authenticate pin: 000112
AUTHENTICATE | DEBUG | 08:46:10 | 92.76 | Attempting to authenticate pin: 000112
AUTHENTICATE | DEBUG | 08:46:16 | 92.76 | Attempting to authenticate pin: 000112
LABLOGGER | INITIALIZE LOG | 08:46:22 | 92.76 | Log file for student: User_112,  M00000112.
LOGINMANAGER | DEBUG | 08:46:22 | 92.76 | Student authenticated: User 112, M00000112
LOGINMANAGER | STATE START | 08:46:22 | 92.76 | Lab Selection
LOGINMANAGER | TRACE | 08:46:22 | 92.76 | GenerateLabListUI()
LOGINMANAGER | TRACE | 08:46:55 | 125.88 | LabSelected()
LOGINMANAGER | DEBUG | 08:46:55 | 125.88 | Lab Selected: 1, Moon Lab
LOGINMANAGER | STATE START | 08:46:55 | 125.88 | Lab Initiation
DOWNLOADUTILITY | DEBUG | 08:46:55 | 125.88 | Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY | DEBUG | 08:46:55 | 125.88 | Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | DEBUG | 08:46:59 | 130.27 | Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | TRACE | 08:46:59 | 130.27 | Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | DEBUG | 08:46:59 | 130.27 | Number of entries to extract: 64
DOWNLOADUTILITY | DEBUG | 08:46:59 | 130.27 | Extracting file: basketball.wav
DOWNLOADUTILITY | DEBUG | 08:46:59 | 130.27 | Extracting file: bigearthmoon.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: Grab.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: introduction.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: labintro.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: mixkit-game-bonus-reached-2065.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_1_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_10_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_11_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_2_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_3_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_4_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_5_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_6_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_7_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_7_notused.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_8_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_1_9_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_2_0_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_2_1_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_2_10_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_2_11_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_2_2_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:00 | 130.27 | Extracting file: moonlab_2_20_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_2_3_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_2_4_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_2_5_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_2_6_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_2_7_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_2_8_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_2_9_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_3_0_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_3_1_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_4_0_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_5_0_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_6_0_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_7_0_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_7_1_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_7_2_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_7_3_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_7_4_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_7_5_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: moonlab_7_6_0.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: newfinalie.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: not_in_order1.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: not_in_order2.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: not_in_order3.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: Release.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: seeing the moon.wav
DOWNLOADUTILITY | DEBUG | 08:47:01 | 130.27 | Extracting file: sorting_instructions.wav
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: sort-nicejob.wav
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: startbasketball.mp3
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: startsim.wav
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: Test55.mp3
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: demo10.json
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: 2k_moon.jpg
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: 2k_sun.jpg
DOWNLOADUTILITY | DEBUG | 08:47:02 | 130.27 | Extracting file: balldimpled.png
MEDIACATALOGUE | DEBUG | 08:47:02 | 130.27 | Started Initializing Media Catlogue, 60 resources to load
MEDIACATALOGUE | DEBUG | 08:47:02 | 130.27 | Started loading file: basketball.wav
