LOGINMANAGER | STATE START | 13:41:44 | 3.81 | Introduction
LOGINMANAGER | TRACE | 13:41:44 | 3.81 | ToggleControllerRendering()
DOWNLOADUTILITY | DEBUG | 13:41:44 | 3.81 | Starting download of file $/documents/C2/login/All_Labs.json from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY | DEBUG | 13:41:44 | 3.81 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 13:41:44 | 3.81 | SetupIntroAnimation()
DOWNLOADUTILITY | DEBUG | 13:41:44 | 3.81 | Starting download of file $/documents/C2/login/pin_ids.csv from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY | DEBUG | 13:41:44 | 3.81 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER | CONNECT | 13:41:44 | 0 | Connect called at 10/13/2022 13:41:44
LOGGER | TRACE | 13:41:44 | 0 | Saving files to persistent data path: /documents/C2/Logs/10-13-2022_13-41.txt
LOGGER | TRACE | 13:41:44 | 0 | Sync with transform log 3.805885
DOWNLOADUTILITY | DEBUG | 13:41:45 | 0.15 | Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 13:41:45 | 0.15 | ParseLabs()
LOGINMANAGER | DEBUG | 13:41:45 | 0.15 | Finished parsing labs:Moon Lab, 
DOWNLOADUTILITY | DEBUG | 13:41:45 | 0.15 | Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE | TRACE | 13:41:45 | 0.15 | ParseCSV()
AUTHENTICATE | DEBUG | 13:41:54 | 0.15 | CSVs Parsed
LOGINMANAGER | STATE START | 13:42:02 | 8.67 | Placement
LOGINMANAGER | TRACE | 13:42:02 | 8.67 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 13:42:22 | 28.91 | Place()
LOGINMANAGER | STATE START | 13:42:22 | 28.91 | Pin Entry
LOGINMANAGER | TRACE | 13:42:22 | 28.91 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 13:42:27 | 33.84 | GuestLogin()
LOGINMANAGER | STATE START | 13:42:27 | 33.84 | Authentication
AUTHENTICATE | DEBUG | 13:42:27 | 33.84 | Attempting to authenticate pin: 000000
AUTHENTICATE | DEBUG | 13:42:27 | 33.84 | Attempting to authenticate pin: 000000
AUTHENTICATE | DEBUG | 13:42:27 | 33.84 | Attempting to authenticate pin: 000000
LABLOGGER | INITIALIZE LOG | 13:42:27 | 33.84 | Log file for student: Guest_Guest,  M00000000.
LOGINMANAGER | DEBUG | 13:42:28 | 33.84 | Student authenticated: Guest Guest, M00000000
LOGINMANAGER | STATE START | 13:42:28 | 33.84 | Lab Selection
LOGINMANAGER | TRACE | 13:42:28 | 33.84 | GenerateLabListUI()
LOGINMANAGER | TRACE | 13:42:32 | 38.66 | LabSelected()
LOGINMANAGER | DEBUG | 13:42:32 | 38.66 | Lab Selected: 1, Moon Lab
LOGINMANAGER | STATE START | 13:42:32 | 38.66 | Lab Initiation
DOWNLOADUTILITY | DEBUG | 13:42:32 | 38.66 | Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY | DEBUG | 13:42:32 | 38.66 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | TRACE | 13:42:39 | 45.14 | Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Number of entries to extract: 64
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: basketball.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: bigearthmoon.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: Grab.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: introduction.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: labintro.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: mixkit-game-bonus-reached-2065.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_1_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_10_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_11_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_2_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_3_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_4_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_5_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_6_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_7_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_7_notused.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_8_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:39 | 45.14 | Extracting file: moonlab_1_9_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:40 | 45.14 | Extracting file: moonlab_2_0_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:40 | 45.14 | Extracting file: moonlab_2_1_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:40 | 45.14 | Extracting file: moonlab_2_10_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:40 | 45.14 | Extracting file: moonlab_2_11_0.wav
DOWNLOADUTILITY | DEBUG | 13:42:40 | 45.14 | Extracting file: moonlab_2_2_0.wav
