LOGINMANAGER | STATE START | 13:44:21 | 3.82 | Introduction
LOGINMANAGER | TRACE | 13:44:21 | 3.82 | ToggleControllerRendering()
DOWNLOADUTILITY | DEBUG | 13:44:21 | 3.82 | Starting download of file $/documents/C2/login/All_Labs.json from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY | DEBUG | 13:44:21 | 3.82 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 13:44:21 | 3.82 | SetupIntroAnimation()
DOWNLOADUTILITY | DEBUG | 13:44:21 | 3.82 | Starting download of file $/documents/C2/login/pin_ids.csv from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY | DEBUG | 13:44:21 | 3.82 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER | CONNECT | 13:44:21 | 0 | Connect called at 09/27/2022 13:44:21
LOGGER | TRACE | 13:44:21 | 0 | Saving files to persistent data path: /documents/C2/Logs/09-27-2022_13-44.txt
LOGGER | TRACE | 13:44:21 | 0 | Sync with transform log 3.82266
DOWNLOADUTILITY | DEBUG | 13:44:22 | 0.07 | Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 13:44:22 | 0.07 | ParseLabs()
LOGINMANAGER | DEBUG | 13:44:22 | 0.07 | Finished parsing labs:Moon Lab, 
DOWNLOADUTILITY | DEBUG | 13:44:22 | 0.13 | Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE | TRACE | 13:44:22 | 0.13 | ParseCSV()
AUTHENTICATE | DEBUG | 13:44:31 | 0.13 | CSVs Parsed
LOGINMANAGER | STATE START | 13:44:39 | 8.68 | Placement
LOGINMANAGER | TRACE | 13:44:39 | 8.68 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 13:46:02 | 91.73 | Place()
LOGINMANAGER | STATE START | 13:46:02 | 91.73 | Pin Entry
LOGINMANAGER | TRACE | 13:46:02 | 91.73 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 13:46:34 | 122.99 | PinEntered()
LOGINMANAGER | STATE START | 13:46:34 | 122.99 | Authentication
AUTHENTICATE | DEBUG | 13:46:34 | 122.99 | Attempting to authenticate pin: 000152
AUTHENTICATE | DEBUG | 13:46:41 | 122.99 | Attempting to authenticate pin: 000152
AUTHENTICATE | DEBUG | 13:46:49 | 122.99 | Attempting to authenticate pin: 000152
LABLOGGER | INITIALIZE LOG | 13:46:57 | 122.99 | Log file for student: User_152,  M00000152.
LOGINMANAGER | DEBUG | 13:46:57 | 122.99 | Student authenticated: User 152, M00000152
LOGINMANAGER | STATE START | 13:46:57 | 122.99 | Lab Selection
LOGINMANAGER | TRACE | 13:46:57 | 122.99 | GenerateLabListUI()
LOGINMANAGER | TRACE | 13:47:04 | 130.18 | LabSelected()
LOGINMANAGER | DEBUG | 13:47:04 | 130.18 | Lab Selected: 1, Moon Lab
LOGINMANAGER | STATE START | 13:47:04 | 130.18 | Lab Initiation
