LOGINMANAGER | STATE START | 15:39:57 | 3.83 | Introduction
LOGINMANAGER | TRACE | 15:39:58 | 3.83 | ToggleControllerRendering()
DOWNLOADUTILITY | DEBUG | 15:39:58 | 3.83 | Starting download of file $/documents/C2/login/All_Labs.json from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY | DEBUG | 15:39:58 | 3.83 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 15:39:58 | 3.83 | SetupIntroAnimation()
DOWNLOADUTILITY | DEBUG | 15:39:58 | 3.83 | Starting download of file $/documents/C2/login/pin_ids.csv from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY | DEBUG | 15:39:58 | 3.83 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER | CONNECT | 15:39:58 | 0 | Connect called at 09/26/2022 15:39:58
LOGGER | TRACE | 15:39:58 | 0 | Saving files to persistent data path: /documents/C2/Logs/09-26-2022_15-39.txt
LOGGER | TRACE | 15:39:58 | 0 | Sync with transform log 3.825779
DOWNLOADUTILITY | DEBUG | 15:39:58 | 0.12 | Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 15:39:58 | 0.12 | ParseLabs()
LOGINMANAGER | DEBUG | 15:39:58 | 0.12 | Finished parsing labs:Moon Lab, 
DOWNLOADUTILITY | DEBUG | 15:39:58 | 0.12 | Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE | TRACE | 15:39:58 | 0.12 | ParseCSV()
AUTHENTICATE | DEBUG | 15:40:07 | 0.12 | CSVs Parsed
LOGINMANAGER | STATE START | 15:40:15 | 8.69 | Placement
LOGINMANAGER | TRACE | 15:40:15 | 8.69 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 15:40:49 | 42.27 | Place()
LOGINMANAGER | STATE START | 15:40:49 | 42.27 | Pin Entry
LOGINMANAGER | TRACE | 15:40:49 | 42.27 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 15:41:08 | 61.76 | PinEntered()
LOGINMANAGER | STATE START | 15:41:08 | 61.76 | Authentication
AUTHENTICATE | DEBUG | 15:41:08 | 61.76 | Attempting to authenticate pin: 000150
AUTHENTICATE | DEBUG | 15:41:16 | 61.76 | Attempting to authenticate pin: 000150
AUTHENTICATE | DEBUG | 15:41:25 | 61.76 | Attempting to authenticate pin: 000150
