LOGINMANAGER | STATE START | 15:30:44 | 3.83 | Introduction
LOGINMANAGER | TRACE | 15:30:44 | 3.83 | ToggleControllerRendering()
DOWNLOADUTILITY | DEBUG | 15:30:44 | 3.83 | Starting download of file $/documents/C2/login/All_Labs.json from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY | DEBUG | 15:30:44 | 3.83 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 15:30:44 | 3.83 | SetupIntroAnimation()
DOWNLOADUTILITY | DEBUG | 15:30:44 | 3.83 | Starting download of file $/documents/C2/login/pin_ids.csv from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY | DEBUG | 15:30:44 | 3.83 | Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER | CONNECT | 15:30:44 | 0 | Connect called at 09/21/2022 15:30:44
LOGGER | TRACE | 15:30:44 | 0 | Saving files to persistent data path: /documents/C2/Logs/09-21-2022_15-30.txt
LOGGER | TRACE | 15:30:44 | 0 | Sync with transform log 3.828165
DOWNLOADUTILITY | DEBUG | 15:30:45 | 0.04 | Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 15:30:45 | 0.04 | ParseLabs()
LOGINMANAGER | DEBUG | 15:30:45 | 0.04 | Finished parsing labs:Moon Lab, 
DOWNLOADUTILITY | DEBUG | 15:30:45 | 0.09 | Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE | TRACE | 15:30:45 | 0.09 | ParseCSV()
AUTHENTICATE | DEBUG | 15:30:54 | 0.09 | CSVs Parsed
LOGINMANAGER | STATE START | 15:31:02 | 8.67 | Placement
LOGINMANAGER | TRACE | 15:31:02 | 8.67 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 15:31:47 | 53.8 | Place()
LOGINMANAGER | STATE START | 15:31:47 | 53.8 | Pin Entry
LOGINMANAGER | TRACE | 15:31:47 | 53.8 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 15:32:09 | 75.64 | GuestLogin()
LOGINMANAGER | STATE START | 15:32:09 | 75.64 | Authentication
