entity,tag,abstime,reltime,message
LOGINMANAGER,STATE START,"(8, 38, 34)",3.83, Introduction
LOGINMANAGER,TRACE,"(8, 38, 34)",3.83, ToggleControllerRendering()
DOWNLOADUTILITY,DEBUG,"(8, 38, 34)",3.83, Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY,DEBUG,"(8, 38, 34)",3.83," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json"
LOGINMANAGER,TRACE,"(8, 38, 34)",3.83, SetupIntroAnimation()
DOWNLOADUTILITY,DEBUG,"(8, 38, 34)",3.83, Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY,DEBUG,"(8, 38, 34)",3.83," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv"
LOGGER,CONNECT,"(8, 38, 34)",0.0, Connect called at 09/09/2022 08:38:34
LOGGER,TRACE,"(8, 38, 34)",0.0, Saving files to persistent data path: /documents/C2/Logs/09-09-2022_08-38.txt
LOGGER,TRACE,"(8, 38, 34)",0.0, Sync with transform log 3.82544
DOWNLOADUTILITY,DEBUG,"(8, 38, 35)",0.0, Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER,TRACE,"(8, 38, 35)",0.0, ParseLabs()
LOGINMANAGER,DEBUG,"(8, 38, 35)",0.0," Finished parsing labs:Moon Lab, "
DOWNLOADUTILITY,DEBUG,"(8, 38, 35)",0.0, Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE,TRACE,"(8, 38, 35)",0.0, ParseCSV()
AUTHENTICATE,DEBUG,"(8, 38, 44)",0.0, CSVs Parsed
LOGINMANAGER,STATE START,"(8, 38, 52)",8.69, Placement
LOGINMANAGER,TRACE,"(8, 38, 52)",8.69, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(8, 39, 28)",44.62, Place()
LOGINMANAGER,STATE START,"(8, 39, 28)",44.62, Pin Entry
LOGINMANAGER,TRACE,"(8, 39, 28)",44.62, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(8, 39, 53)",69.03, PinEntered()
LOGINMANAGER,STATE START,"(8, 39, 53)",69.03, Authentication
AUTHENTICATE,DEBUG,"(8, 39, 53)",69.03, Attempting to authenticate pin: 008116
LOGINMANAGER,DEBUG,"(8, 40, 41)",69.03, Pin failed to authenticate
LOGINMANAGER,STATE START,"(8, 40, 41)",69.03, Pin Entry
LOGINMANAGER,TRACE,"(8, 40, 41)",69.03, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(8, 40, 54)",82.19, PinEntered()
LOGINMANAGER,STATE START,"(8, 40, 54)",82.19, Authentication
AUTHENTICATE,DEBUG,"(8, 40, 54)",82.19, Attempting to authenticate pin: 000116
AUTHENTICATE,DEBUG,"(8, 41, 0)",82.19, Attempting to authenticate pin: 000116
AUTHENTICATE,DEBUG,"(8, 41, 6)",82.19, Attempting to authenticate pin: 000116
LABLOGGER,INITIALIZE LOG,"(8, 41, 12)",82.19," Log file for student: User_116,  M00000116."
LOGINMANAGER,DEBUG,"(8, 41, 12)",82.19," Student authenticated: User 116, M00000116"
LOGINMANAGER,STATE START,"(8, 41, 12)",82.19, Lab Selection
LOGINMANAGER,TRACE,"(8, 41, 12)",82.19, GenerateLabListUI()
LOGINMANAGER,TRACE,"(8, 41, 20)",90.3, LabSelected()
LOGINMANAGER,DEBUG,"(8, 41, 20)",90.3," Lab Selected: 1, Moon Lab"
LOGINMANAGER,STATE START,"(8, 41, 20)",90.3, Lab Initiation
DOWNLOADUTILITY,DEBUG,"(8, 41, 20)",90.3, Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(8, 41, 20)",90.3," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip"
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY,TRACE,"(8, 41, 25)",94.62, Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Number of entries to extract: 64
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: basketball.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: bigearthmoon.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: Grab.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: introduction.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: labintro.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: mixkit-game-bonus-reached-2065.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: moonlab_1_1_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: moonlab_1_10_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: moonlab_1_11_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: moonlab_1_2_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: moonlab_1_3_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 41, 25)",94.62, Extracting file: moonlab_1_4_0.wav
