entity,tag,abstime,reltime,message
LOGINMANAGER,STATE START,"(9, 45, 49)",3.83, Introduction
LOGINMANAGER,TRACE,"(9, 45, 49)",3.83, ToggleControllerRendering()
DOWNLOADUTILITY,DEBUG,"(9, 45, 49)",3.83, Starting download of file $/documents/C2/login/All_Labs.json from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY,DEBUG,"(9, 45, 49)",3.83," Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json"
LOGINMANAGER,TRACE,"(9, 45, 49)",3.83, SetupIntroAnimation()
DOWNLOADUTILITY,DEBUG,"(9, 45, 49)",3.83, Starting download of file $/documents/C2/login/pin_ids.csv from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY,DEBUG,"(9, 45, 49)",3.83," Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv"
LOGGER,CONNECT,"(9, 45, 49)",0.0, Connect called at 10/19/2022 09:45:49
LOGGER,TRACE,"(9, 45, 49)",0.0, Saving files to persistent data path: /documents/C2/Logs/10-19-2022_09-45.txt
LOGGER,TRACE,"(9, 45, 49)",0.0, Sync with transform log 3.830297
DOWNLOADUTILITY,DEBUG,"(9, 45, 54)",4.87, Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER,TRACE,"(9, 45, 54)",4.87, ParseLabs()
LOGINMANAGER,DEBUG,"(9, 45, 54)",4.87," Finished parsing labs:Moon Lab, "
DOWNLOADUTILITY,DEBUG,"(9, 45, 54)",4.87, Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE,TRACE,"(9, 45, 54)",4.87, ParseCSV()
AUTHENTICATE,DEBUG,"(9, 46, 3)",4.87, CSVs Parsed
LOGINMANAGER,STATE START,"(9, 46, 6)",8.67, Placement
LOGINMANAGER,TRACE,"(9, 46, 7)",8.67, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(9, 46, 46)",47.87, Place()
LOGINMANAGER,STATE START,"(9, 46, 46)",47.87, Pin Entry
LOGINMANAGER,TRACE,"(9, 46, 46)",47.87, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(9, 47, 8)",69.91, PinEntered()
LOGINMANAGER,STATE START,"(9, 47, 8)",69.91, Authentication
AUTHENTICATE,DEBUG,"(9, 47, 8)",69.91, Attempting to authenticate pin: 000172
AUTHENTICATE,DEBUG,"(9, 47, 16)",69.91, Attempting to authenticate pin: 000172
AUTHENTICATE,DEBUG,"(9, 47, 25)",69.91, Attempting to authenticate pin: 000172
LABLOGGER,INITIALIZE LOG,"(9, 47, 31)",69.91," Log file for student: User_172,  M00000172."
LOGINMANAGER,DEBUG,"(9, 47, 31)",69.91," Student authenticated: User 172, M00000172"
LOGINMANAGER,STATE START,"(9, 47, 31)",69.91, Lab Selection
LOGINMANAGER,TRACE,"(9, 47, 31)",69.91, GenerateLabListUI()
LOGINMANAGER,TRACE,"(9, 47, 37)",76.75, LabSelected()
LOGINMANAGER,DEBUG,"(9, 47, 37)",76.75," Lab Selected: 1, Moon Lab"
LOGINMANAGER,STATE START,"(9, 47, 37)",76.75, Lab Initiation
DOWNLOADUTILITY,DEBUG,"(9, 47, 37)",76.75, Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(9, 47, 37)",76.75," Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip"
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY,TRACE,"(9, 47, 44)",83.01, Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Number of entries to extract: 64
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: basketball.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: bigearthmoon.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: Grab.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: introduction.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: labintro.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: mixkit-game-bonus-reached-2065.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_1_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_10_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_11_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_2_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_3_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_4_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_5_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_6_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_7_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_7_notused.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_8_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 44)",83.01, Extracting file: moonlab_1_9_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_0_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_1_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_10_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_11_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_2_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_20_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_3_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_4_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_5_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_6_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_7_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_8_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_2_9_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_3_0_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_3_1_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_4_0_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_5_0_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_6_0_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_7_0_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_7_1_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_7_2_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_7_3_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_7_4_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_7_5_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: moonlab_7_6_0.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 45)",83.01, Extracting file: newfinalie.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: not_in_order1.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: not_in_order2.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: not_in_order3.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: Release.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: seeing the moon.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: sorting_instructions.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: sort-nicejob.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: startbasketball.mp3
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: startsim.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: Test55.mp3
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY,DEBUG,"(9, 47, 46)",83.01, Extracting file: demo10.json
DOWNLOADUTILITY,DEBUG,"(9, 47, 47)",83.01, Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY,DEBUG,"(9, 47, 47)",83.01, Extracting file: 2k_moon.jpg
DOWNLOADUTILITY,DEBUG,"(9, 47, 47)",83.01, Extracting file: 2k_sun.jpg
DOWNLOADUTILITY,DEBUG,"(9, 47, 47)",83.01, Extracting file: balldimpled.png
MEDIACATALOGUE,DEBUG,"(9, 47, 47)",83.01," Started Initializing Media Catlogue, 60 resources to load"
