entity,tag,abstime,reltime,message
LOGINMANAGER,STATE START,"(8, 48, 42)",3.83, Introduction
LOGINMANAGER,TRACE,"(8, 48, 42)",3.83, ToggleControllerRendering()
DOWNLOADUTILITY,DEBUG,"(8, 48, 42)",3.83, Starting download of file $/documents/C2/login/All_Labs.json from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY,DEBUG,"(8, 48, 42)",3.83," Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json"
LOGINMANAGER,TRACE,"(8, 48, 42)",3.83, SetupIntroAnimation()
DOWNLOADUTILITY,DEBUG,"(8, 48, 42)",3.83, Starting download of file $/documents/C2/login/pin_ids.csv from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY,DEBUG,"(8, 48, 42)",3.83," Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv"
LOGGER,CONNECT,"(8, 48, 42)",0.0, Connect called at 10/13/2022 08:48:42
LOGGER,TRACE,"(8, 48, 42)",0.0, Saving files to persistent data path: /documents/C2/Logs/10-13-2022_08-48.txt
LOGGER,TRACE,"(8, 48, 42)",0.0, Sync with transform log 3.825791
DOWNLOADUTILITY,DEBUG,"(8, 48, 42)",0.09, Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER,TRACE,"(8, 48, 42)",0.09, ParseLabs()
LOGINMANAGER,DEBUG,"(8, 48, 42)",0.09," Finished parsing labs:Moon Lab, "
DOWNLOADUTILITY,DEBUG,"(8, 48, 42)",0.09, Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE,TRACE,"(8, 48, 42)",0.09, ParseCSV()
AUTHENTICATE,DEBUG,"(8, 48, 52)",0.09, CSVs Parsed
LOGINMANAGER,STATE START,"(8, 49, 0)",8.68, Placement
LOGINMANAGER,TRACE,"(8, 49, 0)",8.68, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(8, 49, 28)",37.17, Place()
LOGINMANAGER,STATE START,"(8, 49, 29)",37.17, Pin Entry
LOGINMANAGER,TRACE,"(8, 49, 29)",37.17, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(8, 49, 55)",63.72, PinEntered()
LOGINMANAGER,STATE START,"(8, 49, 55)",63.72, Authentication
AUTHENTICATE,DEBUG,"(8, 49, 55)",63.72, Attempting to authenticate pin: 000163
AUTHENTICATE,DEBUG,"(8, 50, 3)",63.72, Attempting to authenticate pin: 000163
AUTHENTICATE,DEBUG,"(8, 50, 12)",63.72, Attempting to authenticate pin: 000163
LABLOGGER,INITIALIZE LOG,"(8, 50, 20)",63.72," Log file for student: User_163,  M00000163."
LOGINMANAGER,DEBUG,"(8, 50, 20)",63.72," Student authenticated: User 163, M00000163"
LOGINMANAGER,STATE START,"(8, 50, 20)",63.72, Lab Selection
LOGINMANAGER,TRACE,"(8, 50, 20)",63.72, GenerateLabListUI()
LOGINMANAGER,TRACE,"(8, 50, 24)",67.72, LabSelected()
LOGINMANAGER,DEBUG,"(8, 50, 24)",67.72," Lab Selected: 1, Moon Lab"
LOGINMANAGER,STATE START,"(8, 50, 24)",67.72, Lab Initiation
DOWNLOADUTILITY,DEBUG,"(8, 50, 24)",67.72, Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: https://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(8, 50, 24)",67.72," Inside download coroutine, URL: https://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip"
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY,TRACE,"(8, 50, 31)",74.53, Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Number of entries to extract: 64
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Extracting file: basketball.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Extracting file: bigearthmoon.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Extracting file: Grab.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Extracting file: introduction.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Extracting file: labintro.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Extracting file: mixkit-game-bonus-reached-2065.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Extracting file: moonlab_1_1_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 31)",74.53, Extracting file: moonlab_1_10_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_11_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_2_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_3_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_4_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_5_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_6_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_7_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_7_notused.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_8_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_1_9_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_2_0_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_2_1_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_2_10_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_2_11_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_2_2_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_2_20_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 32)",74.53, Extracting file: moonlab_2_3_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_2_4_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_2_5_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_2_6_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_2_7_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_2_8_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_2_9_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_3_0_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_3_1_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_4_0_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_5_0_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_6_0_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_7_0_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_7_1_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_7_2_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_7_3_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_7_4_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_7_5_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: moonlab_7_6_0.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: newfinalie.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: not_in_order1.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: not_in_order2.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: not_in_order3.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: Release.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: seeing the moon.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 33)",74.53, Extracting file: sorting_instructions.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: sort-nicejob.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: startbasketball.mp3
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: startsim.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: Test55.mp3
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: demo10.json
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: 2k_moon.jpg
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: 2k_sun.jpg
DOWNLOADUTILITY,DEBUG,"(8, 50, 34)",74.53, Extracting file: balldimpled.png
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.53," Started Initializing Media Catlogue, 60 resources to load"
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.53, Started loading file: basketball.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.88, Started loading file: bigearthmoon.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.91, Started loading file: Grab.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.93, Started loading file: introduction.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.94, Started loading file: labintro.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.96, Started loading file: newfinalie.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.98, Started loading file: not_in_order1.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",74.99, Started loading file: not_in_order2.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 34)",75.01, Started loading file: not_in_order3.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 35)",75.03, Started loading file: Release.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 35)",75.04, Started loading file: seeing the moon.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 35)",75.08, Started loading file: sorting_instructions.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 35)",75.12, Started loading file: sort-nicejob.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 35)",75.13, Started loading file: startbasketball.mp3
MEDIACATALOGUE,DEBUG,"(8, 50, 35)",75.15, Started loading file: startsim.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 35)",75.23, Started loading file: starttinyearthmoons.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 35)",75.25, Started loading file: Test55.mp3
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.33, Started loading file: tinyearthmoon.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.68, Started loading file: mixkit-game-bonus-reached-2065.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.7, Started loading file: moonlab_1_1_0.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.72, Started loading file: moonlab_1_10_0.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.73, Started loading file: moonlab_1_11_0.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.75, Started loading file: moonlab_1_2_0.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.77, Started loading file: moonlab_1_3_0.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.78, Started loading file: moonlab_1_4_0.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.8, Started loading file: moonlab_1_5_0.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.82, Started loading file: moonlab_1_6_0.wav
MEDIACATALOGUE,DEBUG,"(8, 50, 40)",75.83, Started loading file: moonlab_1_7_0.wav
