entity,tag,abstime,reltime,message
LOGINMANAGER,STATE START,"(15, 30, 21)",3.81, Introduction
LOGINMANAGER,TRACE,"(15, 30, 21)",3.81, ToggleControllerRendering()
DOWNLOADUTILITY,DEBUG,"(15, 30, 21)",3.81, Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY,DEBUG,"(15, 30, 21)",3.81," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json"
LOGINMANAGER,TRACE,"(15, 30, 21)",3.81, SetupIntroAnimation()
DOWNLOADUTILITY,DEBUG,"(15, 30, 21)",3.81, Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY,DEBUG,"(15, 30, 21)",3.81," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv"
LOGGER,CONNECT,"(15, 30, 21)",0.0, Connect called at 09/14/2022 15:30:21
LOGGER,TRACE,"(15, 30, 21)",0.0, Saving files to persistent data path: /documents/C2/Logs/09-14-2022_15-30.txt
LOGGER,TRACE,"(15, 30, 21)",0.0, Sync with transform log 3.805751
DOWNLOADUTILITY,DEBUG,"(15, 30, 21)",0.0, Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER,TRACE,"(15, 30, 21)",0.0, ParseLabs()
LOGINMANAGER,DEBUG,"(15, 30, 21)",0.0," Finished parsing labs:Moon Lab, "
DOWNLOADUTILITY,DEBUG,"(15, 30, 21)",0.0, Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE,TRACE,"(15, 30, 21)",0.0, ParseCSV()
AUTHENTICATE,DEBUG,"(15, 30, 30)",0.0, CSVs Parsed
LOGINMANAGER,STATE START,"(15, 30, 39)",8.69, Placement
LOGINMANAGER,TRACE,"(15, 30, 39)",8.69, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(15, 31, 24)",53.5, Place()
LOGINMANAGER,STATE START,"(15, 31, 24)",53.5, Pin Entry
LOGINMANAGER,TRACE,"(15, 31, 24)",53.5, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(15, 32, 31)",120.94, PinEntered()
LOGINMANAGER,STATE START,"(15, 32, 31)",120.94, Authentication
AUTHENTICATE,DEBUG,"(15, 32, 31)",120.94, Attempting to authenticate pin: 00
LOGINMANAGER,DEBUG,"(15, 33, 20)",120.94, Pin failed to authenticate
LOGINMANAGER,STATE START,"(15, 33, 20)",120.94, Pin Entry
