entity,tag,abstime,reltime,message
LOGINMANAGER,STATE START,"(15, 41, 23)",3.83, Introduction
LOGINMANAGER,TRACE,"(15, 41, 23)",3.83, ToggleControllerRendering()
DOWNLOADUTILITY,DEBUG,"(15, 41, 23)",3.83, Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY,DEBUG,"(15, 41, 23)",3.83," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json"
LOGINMANAGER,TRACE,"(15, 41, 23)",3.83, SetupIntroAnimation()
DOWNLOADUTILITY,DEBUG,"(15, 41, 23)",3.83, Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY,DEBUG,"(15, 41, 23)",3.83," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv"
LOGGER,CONNECT,"(15, 41, 23)",0.0, Connect called at 09/12/2022 15:41:23
LOGGER,TRACE,"(15, 41, 23)",0.0, Saving files to persistent data path: /documents/C2/Logs/09-12-2022_15-41.txt
LOGGER,TRACE,"(15, 41, 23)",0.0, Sync with transform log 3.826694
DOWNLOADUTILITY,DEBUG,"(15, 41, 23)",0.0, Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER,TRACE,"(15, 41, 23)",0.0, ParseLabs()
LOGINMANAGER,DEBUG,"(15, 41, 23)",0.0," Finished parsing labs:Moon Lab, "
DOWNLOADUTILITY,DEBUG,"(15, 41, 23)",0.0, Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE,TRACE,"(15, 41, 23)",0.0, ParseCSV()
AUTHENTICATE,DEBUG,"(15, 41, 32)",0.0, CSVs Parsed
LOGINMANAGER,STATE START,"(15, 41, 40)",8.68, Placement
LOGINMANAGER,TRACE,"(15, 41, 40)",8.68, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(15, 41, 41)",9.42, Place()
LOGINMANAGER,STATE START,"(15, 41, 41)",9.42, Pin Entry
LOGINMANAGER,TRACE,"(15, 41, 41)",9.42, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(15, 42, 36)",64.3, PinEntered()
LOGINMANAGER,STATE START,"(15, 42, 36)",64.3, Authentication
AUTHENTICATE,DEBUG,"(15, 42, 36)",64.3, Attempting to authenticate pin: 000117
AUTHENTICATE,DEBUG,"(15, 42, 42)",64.3, Attempting to authenticate pin: 000117
AUTHENTICATE,DEBUG,"(15, 42, 48)",64.3, Attempting to authenticate pin: 000117
LABLOGGER,INITIALIZE LOG,"(15, 42, 54)",64.3," Log file for student: User_117,  M00000117."
LOGINMANAGER,DEBUG,"(15, 42, 54)",64.3," Student authenticated: User 117, M00000117"
LOGINMANAGER,STATE START,"(15, 42, 54)",64.3, Lab Selection
LOGINMANAGER,TRACE,"(15, 42, 54)",64.3, GenerateLabListUI()
LOGINMANAGER,TRACE,"(15, 42, 59)",69.78, LabSelected()
LOGINMANAGER,DEBUG,"(15, 42, 59)",69.78," Lab Selected: 1, Moon Lab"
LOGINMANAGER,STATE START,"(15, 42, 59)",69.78, Lab Initiation
DOWNLOADUTILITY,DEBUG,"(15, 42, 59)",69.78, Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(15, 42, 59)",69.78," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip"
