entity,tag,abstime,reltime,message
LOGINMANAGER,STATE START,"(15, 39, 13)",3.82, Introduction
LOGINMANAGER,TRACE,"(15, 39, 13)",3.82, ToggleControllerRendering()
DOWNLOADUTILITY,DEBUG,"(15, 39, 13)",3.82, Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY,DEBUG,"(15, 39, 13)",3.82," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json"
LOGINMANAGER,TRACE,"(15, 39, 13)",3.82, SetupIntroAnimation()
DOWNLOADUTILITY,DEBUG,"(15, 39, 13)",3.82, Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY,DEBUG,"(15, 39, 13)",3.82," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv"
LOGGER,CONNECT,"(15, 39, 13)",0.0, Connect called at 09/12/2022 15:39:13
LOGGER,TRACE,"(15, 39, 13)",0.0, Saving files to persistent data path: /documents/C2/Logs/09-12-2022_15-39.txt
LOGGER,TRACE,"(15, 39, 13)",0.0, Sync with transform log 3.822861
DOWNLOADUTILITY,DEBUG,"(15, 39, 13)",0.0, Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER,TRACE,"(15, 39, 13)",0.0, ParseLabs()
LOGINMANAGER,DEBUG,"(15, 39, 13)",0.0," Finished parsing labs:Moon Lab, "
DOWNLOADUTILITY,DEBUG,"(15, 39, 13)",0.0, Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE,TRACE,"(15, 39, 13)",0.0, ParseCSV()
AUTHENTICATE,DEBUG,"(15, 39, 22)",0.0, CSVs Parsed
LOGINMANAGER,STATE START,"(15, 39, 31)",8.67, Placement
LOGINMANAGER,TRACE,"(15, 39, 31)",8.67, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(15, 40, 3)",40.87, Place()
LOGINMANAGER,STATE START,"(15, 40, 3)",40.87, Pin Entry
LOGINMANAGER,TRACE,"(15, 40, 3)",40.87, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(15, 42, 2)",159.92, PinEntered()
LOGINMANAGER,STATE START,"(15, 42, 2)",159.92, Authentication
AUTHENTICATE,DEBUG,"(15, 42, 2)",159.92, Attempting to authenticate pin: 000119
AUTHENTICATE,DEBUG,"(15, 42, 8)",159.92, Attempting to authenticate pin: 000119
AUTHENTICATE,DEBUG,"(15, 42, 15)",159.92, Attempting to authenticate pin: 000119
LABLOGGER,INITIALIZE LOG,"(15, 42, 21)",159.92," Log file for student: User_119,  M00000119."
LOGINMANAGER,DEBUG,"(15, 42, 21)",159.92," Student authenticated: User 119, M00000119"
LOGINMANAGER,STATE START,"(15, 42, 21)",159.92, Lab Selection
LOGINMANAGER,TRACE,"(15, 42, 21)",159.92, GenerateLabListUI()
LOGINMANAGER,TRACE,"(15, 42, 29)",168.11, LabSelected()
LOGINMANAGER,DEBUG,"(15, 42, 29)",168.11," Lab Selected: 1, Moon Lab"
LOGINMANAGER,STATE START,"(15, 42, 29)",168.11, Lab Initiation
DOWNLOADUTILITY,DEBUG,"(15, 42, 29)",168.11, Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(15, 42, 29)",168.11," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip"
DOWNLOADUTILITY,DEBUG,"(15, 42, 33)",172.44, Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY,TRACE,"(15, 42, 33)",172.44, Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY,DEBUG,"(15, 42, 33)",172.44, Number of entries to extract: 64
DOWNLOADUTILITY,DEBUG,"(15, 42, 33)",172.44, Extracting file: basketball.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: bigearthmoon.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: Grab.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: introduction.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: labintro.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: mixkit-game-bonus-reached-2065.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_1_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_10_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_11_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_2_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_3_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_4_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_5_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_6_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_7_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_7_notused.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_8_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_1_9_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_2_0_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_2_1_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_2_10_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 34)",172.44, Extracting file: moonlab_2_11_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_2_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_20_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_3_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_4_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_5_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_6_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_7_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_8_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_2_9_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_3_0_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_3_1_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_4_0_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_5_0_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_6_0_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_7_0_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_7_1_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_7_2_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_7_3_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_7_4_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_7_5_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: moonlab_7_6_0.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: newfinalie.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: not_in_order1.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: not_in_order2.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: not_in_order3.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: Release.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 35)",172.44, Extracting file: seeing the moon.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 36)",172.44, Extracting file: sorting_instructions.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 36)",172.44, Extracting file: sort-nicejob.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 36)",172.44, Extracting file: startbasketball.mp3
DOWNLOADUTILITY,DEBUG,"(15, 42, 36)",172.44, Extracting file: startsim.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 36)",172.44, Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY,DEBUG,"(15, 42, 36)",172.44, Extracting file: Test55.mp3
